459763175278530560,1024901264,Ethan Schofield,529,561,London,Fri Apr 25 18:37:37 +0000 2014,"RT @FCBarcelona: This Monday at eight o'clock in the evening, the funeral service for Tito Vilanova will be held at Barcelona Cathedral #Ti…"
459763174573473792,758256194,Marviansyah,231,241,Bangkok,Fri Apr 25 18:37:37 +0000 2014,RT @ZonaHEBAT: BREAKING NEWS: Mantan pelatih Barcelona Tito Vilanova meninggal dunia di usia 45 tahun. http://t.co/sD5cCmRKuG
459763175664386048,201343222,Pablo Jimenez,388,256,,Fri Apr 25 18:37:37 +0000 2014,RT @M0tivacionesF: La Carta completa que le escribió Tito Vilanova al Barcelona. #HastaSiempreTito http://t.co/ZZ8gtS5KIR
459763175857344512,2198419543,OGUNGBE SETONYON,60,681,,Fri Apr 25 18:37:37 +0000 2014,RT @barcastuff: Official: Barcelona announce that the funeral of former Barcelona coach Tito Vilanova will be on Monday at 8pm #fcblive #rip
459763176171917313,750354878,Adwoa,120,108,Arizona,Fri Apr 25 18:37:37 +0000 2014,"RT @FCBarcelona: Tito Vilanova, a life dedicated to FC Barcelona http://t.co/9UjfYoWGoH #TitoEtern http://t.co/iNl3iry7I5"
459763176289353729,1711429868,marisol acosta♥,469,384,,Fri Apr 25 18:37:37 +0000 2014,"RT @M0tivacionesF: Acaba de fallecer el ex técnico del FC Barcelona, Tito Vilanova. QEPD"
459763176620711936,1011677510,jc piernavieja,16,63,Amsterdam,Fri Apr 25 18:37:37 +0000 2014,RT @FC__Barcelona: La carta de despedida de Tito Vilanova http://t.co/cv3Z70lkCg #Barcelona #futbol
459763177040134144,317117478,Collins Stewart,81,90,,Fri Apr 25 18:37:38 +0000 2014,RT @SkySportsNews: Former Barcelona coach Tito Vilanova has died aged 45 following battle with cancer - more on #SSN
459763176431951872,461374139,Ahmed Al-abdullah,158,159,,Fri Apr 25 18:37:38 +0000 2014,"RT @FCBarcelona: This Monday at eight o'clock in the evening, the funeral service for Tito Vilanova will be held at Barcelona Cathedral #Ti…"
459763177337942016,1349036923,El Septimo Cielo ,2182,2179,,Fri Apr 25 18:37:38 +0000 2014,RT @escortsafrodita: Neus 617039744 - Barcelona - Escorts Afrodita: http://t.co/IZuOgmfG1z
459763177375686656,1709191160,Jose Maria Fernandez,12,55,,Fri Apr 25 18:37:38 +0000 2014,RT @BeaMFigueroa: #Cáncer Fútbol.- Fallece el ex entrenador del FC Barcelona Tito Vilanova http://t.co/3HXpG5zbrR
459763177387880448,248147210,Dylan Ramadhan,103,179,Bangkok,Fri Apr 25 18:37:38 +0000 2014,RT @ZonaHEBAT: BREAKING NEWS: Mantan pelatih Barcelona Tito Vilanova meninggal dunia di usia 45 tahun. http://t.co/sD5cCmRKuG
459763178507755520,609757205,IG:JeanFreeSH      →,9331,1311,Athens,Fri Apr 25 18:37:38 +0000 2014,Tito Vilanova meninggal dunia: Mantan pelatih Barcelona Tito Vilanova meninggal dunia menyusul perjuangannya m... http://t.co/vMMH40yGNq
459763178881417217,434205908,lupe espargarina.,341,650,Madrid,Fri Apr 25 18:37:38 +0000 2014,RT @NiallOfficial: Great day at the Barcelona game! INCREDIBLE to meet the best footballer in the world! leomessi ! What… http://t.co/pNs5k…
459763179502186497,2384460175,informaRT,39,96,,Fri Apr 25 18:37:38 +0000 2014,"#DY : Nadal, eliminado del Abierto de Barcelona - BARCELONA, España (AP) _ Rafael Nadal sufrió otro ... http://t.co/ylFyiakgnW"
459763179158265856,893513442,Antonio Riquelme,53,75,,Fri Apr 25 18:37:38 +0000 2014,"RT @chelseafc: Jose Mourinho: 'Tito Vilanova’s passing is a sad day for football, for Barcelona and most importantly for his family and fri…"
459763179568910336,2151108069,ツy̶o̶ s̶o̶y̶ Sэxy ツ,1365,131,Athens,Fri Apr 25 18:37:38 +0000 2014,Tito Vilanova meninggal dunia: Mantan pelatih Barcelona Tito Vilanova meninggal dunia menyusul perjuangannya m... http://t.co/T8GqReMwd7
459763179602468864,2220630002,mitha aulia ,54,546,,Fri Apr 25 18:37:38 +0000 2014,RT @ZonaHEBAT: BREAKING NEWS: Mantan pelatih Barcelona Tito Vilanova meninggal dunia di usia 45 tahun. http://t.co/sD5cCmRKuG
459763180416536577,2360839073,realist adam16,7,87,,Fri Apr 25 18:37:38 +0000 2014,RT @ntv: Barcelona'nın eski teknik direktörü hayatını kaybetti http://t.co/GdCmbnbWkA
459763181003341824,1874772925,Rezot Jersey Medan,2434,937,Bangkok,Fri Apr 25 18:37:39 +0000 2014,"Mantan Pelatih Barcelona, Tito Vilanova Meninggal Dunia http://t.co/U2QZdjw0C1"
